REVIEW_TITLE|SCORE|ROLE|PROS|CONS|DATE|STATUS|LOCATION|tiempoCategoria|categoriaStatus
Oportunidad de trabajar en áreas muy diversas|3|Ejecutivo de cuentas globales|Marca. Research. Presencia global. Oportunidad de trabajar en distintas áreas|Mucha presión. Muchas horas de trabajo sin contraprestación económica.|2021-03-29|Former Employee|Madrid|Desconocida|Exempleado
Excelente lugar para una experiencia corporativa global|4|Relaciones laborales y de empleados|Oportunidades de aprendizaje, desarrollo. Flexibilidad laboral y estabilidad|Beneficios poco competitivos y atrasados en comparación con el mercado|2021-04-12|Current Employee, More Than 10 Years|Buenos Aires|10|Empleado
Bueno para empezar, muevete en cuanto puedas|4|Empleado anónimo|buenas prestaciones, buen ambiente, bueno para empezar|mucho estres, debajo del estandar de paga de las big four|2021-06-01|Former Employee|Unknown|Desconocida|Exempleado
Excelente empresa|5|Especialista en TI|Empresa muy flexible, buena horientazion y ayudan a desarrollar tu carrera|Se dedica mucho tiempo y tomas responsabilidades extras a tu rol|2021-06-24|Current Employee|Guadalajara, Jalisco|Desconocida|Empleado
Gran empresa|5|Gerente de Proyectos TI|Flexibilidad de horario, home office, buen sueldo, oportunidades de crecimiento vertical y horizontal.|Mucha burocracia y poca claridad en procesos de RH.|2021-07-19|Current Employee, More Than 5 Years|Guadalajara, Jalisco|5|Empleado
Un lugar con buena gente|4|Desarrollador|Comida, descansos, gente para charlar y aprender, obra social, oportunidades varias|No me gusta que no haya viernes de disfraces|2021-07-22|Former Employee, More Than 1 Year|Buenos Aires|1|Empleado
Buena, pero crecimiento lento e inseguridad de trabajo estable ...|3|Inteligencia de Negocios (BI)|Horarios Flexibilidad Sueldo|Abuso de horas extras.|2017-01-01|Current Employee|Unknown|Desconocida|Empleado
Muy mala|1|Especialista en TI|Los cursos de capacitación en todas las áreas de sistemas.|Los salarios bajos, la mala distribución de los aumentos (sin criterio), las grandes diferencias salariales entre empleados con la misma función en el mismo puesto, la cantidad de requerimientos administrativos para justificar que es lo que hacemos y como quitando tiempo a la función productiva.|2017-06-07|Current Employee|Martínez|Desconocida|Empleado
Me parece que no es clara la consigna|1|Cófer|Las herramientas para hacer el trabajo, el servicio que se le brinda a la comunidad,el apoyo tecnico en las unidades trabajo, la posibilidad de conocer mucha gente.|el mal salario, el poco compañerismo, la escasa representacion de nuestros jefes, la falta de capacitacion, la mala distribucion de las riquezas|2017-10-05|Current Employee|La Plata|Desconocida|Empleado
Buena empresa en gral. Poca flexibilidad salarial|3|Consultor SAP Senior|Clientes grandes, Home Working, Cursos, Solidez ante eventuales crisis del pais|Poca flexibilidad salarial, Poca interacción de HR|2019-07-14|Current Employee, More Than 8 Years|Buenos Aires|8|Empleado
Empresa para capacitarse y luego irse|3|Especialista en operación mainframe|Excelente Capacitacion y flexibilidad horaria|Sueldos bajos y gerentes de 1ra línea sin experiencia|2019-10-15|Current Employee, More Than 10 Years|Buenos Aires|10|Empleado
Sueldo|4|Empleado anónimo|Horarios flexibles y tienen muchos beneficios como vacaciones , seguro y home office|Hacen recorte y te pasan nuevos puestos con mismo sueldo|2020-01-19|Former Employee|Unknown|Desconocida|Exempleado
Evaluación IBM|3|Analista Financiero|Home Office, prestaciones (seguros), variedad de equipos|Mucha politica y burocracia de cremiento|2020-03-18|Current Employee, More Than 3 Years|Guadalajara, Jalisco|3|Empleado
Objetiva|4|Gerente de Proyectos TI|Para aquellos que recien empiezan los forman.|Ser una empresa global que no considera cada pais|2020-11-11|Current Employee, More Than 10 Years|Buenos Aires|10|Empleado
Pasantia en finanzas|3|Asociado de operaciones comerciales|Flexibilidad de horarios y para días de estudio, buen sueldo.|El ambiente laboral resulta un tanto tenso, las tareas son muy repetitivas.|2020-12-02|Former Employee|Buenos Aires|Desconocida|Exempleado
IBM Certified IT Specialist|4|Especialista senior en TI|Educación constante_x000D_ Trabajar con varias cuentas y varias tecnologias_x000D_ Posibilidad de crecimiento|Procesos tediosos de onboarding y traslado|2021-01-07|Current Employee, More Than 10 Years|La Plata|10|Empleado
Buen lugar para trabajar|5|Especialista en Monitoreo|home office, 20 dias de paternidad, flexibilidad horaria, tarjeta de beneficios|burocracia, la maquina de cafe no es libre|2021-02-12|Current Employee, More Than 5 Years|San Isidro, Buenos Aires|5|Empleado
Administrador Base de Datos D|4|Administrador de base de datos|compañerismo, aprendizaje, crecimiento continuo, Tranquilidad Laboral, muy buena Obra Social|El único problema que tiene es el sueldo bajo|2021-02-25|Current Employee, More Than 10 Years|Buenos Aires|10|Empleado
Sueldo bajo|2|Asistente Ejecutiva|En mi caso la posibilidad de utilizar mi segundo idioma.|Sueldos bajos, falta de seriedad en los procesos.|2021-03-09|Former Employee, Less Than 1 Year|Buenos Aires|0|Empleado
Excelente clima laboral|4|Analista financiero|Clima laboral. Inclusion. Compromiso con la educacion del empleado.|Sueldos bajos y pocos beneficios|2021-03-17|Current Employee|Martínez|Desconocida|Empleado
Gran empresa, mucho por ajustar|4|Gerente Sénior de Proyectos|Retadora, innovación, client first, oportunidades, mucha información y conocimiento para auto aprender|Demasiado trabajo (picos), jornadas extensas de trabajo|2021-03-31|Former Employee, More Than 10 Years|Unknown|10|Empleado
Buena empresa, mal país para laborar|3|Empleado anónimo|Salario justo_x000D_ Muchos días de vacaciones|Burocracia elevada_x000D_ A la empresa no le importan tus intereses ni tu plan de carrera|2021-04-23|Current Employee, More Than 1 Year|Unknown|1|Empleado
Crecimiento a largo plazo|4|Especialista en TI|Buenas prestaciones, empresa estable, competitiva en salario|Crecimiento a muy largo plazo, tienes que hacer carrera toda la vida ahí|2021-04-28|Former Employee, More Than 8 Years|Unknown|8|Empleado
No tan bien como su imagen|2|Cuentas por cobrar|Buen ambiente, teletrabajo, está bien tener esa empresa en tu cv.|Sueldo bajo_x000D_ Poca posibilidades para subir puesto o cambiar departamento|2021-04-30|Former Employee, More Than 3 Years|Madrid|3|Empleado
Buena|4|Asesor Gerente de Ventas|Herramientas , desarrollo ,Gerentes prepararía actividades extras a tu rol|Lento crecimiento , distancia, no entrar con planta directo , posibles recortes anuales|2021-05-07|Former Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
Trainee|5|Empleado anónimo|Aprendes muchísimo y es muy diversificado los temas en los que te inmercen|El salario de becario no me parece muy bueno|2021-05-21|Current Employee|Ciudad De Mexico|Desconocida|Empleado
Recomiendo|4|Analista financiero|Excelente ambiente hay oportunidades de crecimiento y aprendizaje para armar una carrera a largo plazo.|Mucha competencia, lento crecimiento, muy demandante, mucha presión|2021-05-26|Current Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
Buen lugar para tarbajar|5|Ejecutivo de proyectos de entrega|Flexibilidad y posibilidad de conocer de muchas tecnologías en diversas industrias|Claridad en la estrategia de negocios|2021-05-31|Former Employee, More Than 8 Years|Ciudad De Mexico|8|Empleado
Sysadmin|3|Administrador de sistemas Linux|Cursos. Beneficios globales. Tiempo libre|Depende del cliente y lider que te toque vas a tener o no crecimiento. No se trabaja en equipo|2021-07-05|Former Employee, Less Than 1 Year|Buenos Aires|0|Empleado
Excelente ambiente|4|Desarrollador ABAP SAP|Buenas prestaciones y balance de vida trabajo|Salario no es el mas competitivo y el campus esta bastante alejado de la ciudad|2021-07-12|Current Employee|Guadalajara, Jalisco|Desconocida|Empleado
.|5|Contador Público|Control de tu propio tiempo|Constante movilidad de posiciones y objetivo central de la compañía (todo esto puede ser visto como ventaja)|2021-07-15|Current Employee|Buenos Aires|Desconocida|Empleado
Excelente lugar para desarrollar tu carrera.|5|Especialista en Infraestructura|La capacidad de crecer y estar en contacto con grandes clientes.|Por ahora no he encontrado ninguna.|2021-08-02|Current Employee|Buenos Aires|Desconocida|Empleado
Intern|4|interno|Gran lugar para trabajar y aprender de los demás|Esta un poco retirado de la ciudad|2016-03-12|Current Employee, Less Than 1 Year|Guadalajara, Jalisco|0|Empleado
Mejorar oportunidades de crecimiento|4|Analista de negocios|Beneficios Prestaciones Home Office, Horarios, Vacaciones, Cultura y ambiente laboral, Eventos, Organizaciones, Iniciativas, Gente, Compañeros|Crecimiento, Actividades, Herramientas, Managers.|2017-10-15|Current Employee|Unknown|Desconocida|Empleado
Reocmendable|4|Empleado anónimo|Plan de carrera, beneficios, flexibilidad, oportunidades de crecimiento, ultimas tecnologias, cultura|Salario, ubicacion, empresa muy grande, cultura corporativa burocratica|2019-07-10|Current Employee, More Than 8 Years|Unknown|8|Empleado
Empresa|3|Consultor|Ambiente global, muchos conocimientos por aprender.|No existe un seguimiento al plan de carrera, esto al ser demasiadas personas asignadas a un manager|2019-09-21|Former Employee, More Than 1 Year|Ciudad De Mexico|1|Empleado
Buena empresa para crecer|5|Empleado anónimo|Se puede hacer carrera y crecer profesionalmente|No tiene muchos beneficios y es solo en zona norte|2019-10-17|Current Employee|Unknown|Desconocida|Empleado
Excelentes ambiente de trabajo, sueldo mejorable|3|Empleado anónimo|Ambiente de trabajo, buenos compañeros, flexibiidad horaria, home office|Sueldo bajo, dias que tenes que trabajar hasta tarde|2020-01-08|Current Employee|Unknown|Desconocida|Empleado
Una empresa en constante innovación|4|Empleado anónimo|Buenas prestaciones, trabajo flexible (Home office, horarios), herramientas para aprender|Lento crecimiento, difícil de encontrar al contacto correcto|2020-01-24|Current Employee, More Than 1 Year|Unknown|1|Empleado
SEGURIDAD INFORMATICA|5|Soporte Ténico|campo buen ambiente patio de comida lugar de relajamiento zona playa piscina|los horarios en ciertas areas de trabajo|2020-02-19|Current Employee|Lima, Lima Region|Desconocida|Empleado
Muy buena empresa para trabajar|4|Asociado de gestión de activos|Sueldo competitivo, horarios de oficina, transporte empresarial, vales de despensa|Muy burocratico, crecimiento lento, estructura empresa es gigante|2020-06-17|Current Employee, Less Than 1 Year|Guadalajara, Jalisco|0|Empleado
Si no trabajas 20 horas por día, no servis|1|Comunicación|El nombre. No hay muchas ventajas, si podes elegir andate a otro lado|"Cultura del maltrato escondida bajo ""es su estilo de leadership"". Si no trabajas mil horas por dia no performas, piden que trabajes como una mula y ni siquiera te dan los auriculares. Desastre."|2020-06-20|Current Employee|Buenos Aires|Desconocida|Empleado
Buena empresa|4|Desarrollador de software|Buen ambiente, muchas oportunidades de mejora y programas de educacion|Prestaciones un poco por debajo de la media de la industria|2020-10-06|Current Employee, More Than 5 Years|Guadalajara, Jalisco|5|Empleado
Buena empresa para trabajar|5|Empleado anónimo|Buenas prestaciones, buen sueldo, certificaciones, buena relación vida/trabajo|Poca oportunidad de crecimiento o cambio de área o proyecto|2020-10-08|Current Employee|Unknown|Desconocida|Empleado
Objetiva|5|Ingeniero Devops|Prestaciones, opciones de crecer, buena paga.|Estructura organizacional muy rigida, a veces tu desempeño puede estar limitado debido a los procesos|2020-10-13|Current Employee|Ciudad De Mexico|Desconocida|Empleado
Evaluacion General|4|Analista Contable Semi Senior|Muy buen ambiente laboral y trato cordial con los jefes.|El salario es mas bajo que empresas similares en puestos iguales.|2020-10-27|Former Employee|Unknown|Desconocida|Exempleado
Evaluación IBM|4|Empleado anónimo|Flexibilidad, educación y ambiente laboral. Muy buen balance entre vida laboral y personal.|Mala remuneración en comparación al resto del sector|2021-01-18|Former Employee, More Than 5 Years|Buenos Aires|5|Empleado
Trabajar en IBM|3|Socio comercial de recursos humanos HRBP|Marca reconocida, posibilidad de Teletrabajo, conciliación,|Asesoramiento externo muy mejorable. Busqueda de rentabilidad por encima de todo olvidando a las personas|2021-01-26|Former Employee|Madrid|Desconocida|Exempleado
Buena|5|Empleado anónimo|Aprendes mucho, el personal es muy amable con uno mismo.|Puede ser muy pesado en ocasiones|2021-02-26|Current Employee|Guadalajara, Jalisco|Desconocida|Empleado
Buena empresa|4|Operaciones|Sueldo competitivo y buena oportunidade de aprendizaje|Muy burocratica, situacion incierta por reestructuras, empresas en el mismo sector ofrecen mejores prestaciones|2021-03-03|Former Employee, More Than 5 Years|Ciudad De Mexico|5|Empleado
Becario en IBM|5|Becario|Excelente oportunidad de aprender y crecer|Ninguna todo me gusta en la empresa|2021-04-16|Current Employee, Less Than 1 Year|Ciudad De Mexico|0|Empleado
service desk|4|Empleado anónimo|mejora el ingles_x000D_ aprender de personas que saben _x000D_ cursos gratis _x000D_ personas que ayudan|dificil crecer internamente_x000D_ salario bajo_x000D_ poca comunicacion _x000D_ no interes en crecer|2021-04-18|Former Employee|Ciudad De Mexico|Desconocida|Exempleado
IBM Customer service representative|5|Representante de Servicio al Cliente|exelente empresa para hacer una carrera|las oficinas estan un poco lejos a las afueras de la ciudad|2021-05-24|Current Employee, Less Than 1 Year|Guadalajara, Jalisco|0|Empleado
Sueldo|4|Analista|Muy Buena dinámica de trabajo y equilibrio laboral y vida personal|sueldos realmente muy bajos , no esta acordes al mercado laboral|2021-06-06|Former Employee, More Than 5 Years|Martínez|5|Empleado
Buena|4|Gerente|Muchas ventajas por ser empleado y flexibilidad|Si te gusta la tecnología y quieres un buen ambiente de trabajo no hay ninguna|2021-06-07|Current Employee|Madrid|Desconocida|Empleado
Muy buena empresa, justa y honesta|4|Ejecutivo de Proyectos de Entrega|proyectos complejos, aprendizaje continuo, experiencia internacional|salarios no muy altos, estar mucho tiempo en el mismo lugar|2021-06-11|Current Employee|Querétaro, Querétaro|Desconocida|Empleado
Gran empresa|5|Diseñador de experiencia de usuario|Hay muchísimos cursos de actualizacion y plan de carrera|He escuchado que subir de sueldo no suele ser tan fácil.|2021-08-18|Current Employee|Ciudad De Mexico|Desconocida|Empleado
SAP SD Teach Lead|3|Líder SAP|Flexibilidad, empresa global, estabilidad, compañerismo|Crecimiento lento, bajos sueldos, burocracia|2019-07-28|Current Employee, More Than 5 Years|Guadalajara, Jalisco|5|Empleado
Core librarian|5|Empleado anónimo|Muy buenas condiciones de trabajo, muy buenas proyecciones de trabajo a futuro, horario flexible|Mala remuneración y mala ubicación|2019-08-19|Former Employee|Unknown|Desconocida|Exempleado
Eval|5|Desarrollador ABAP|Posibilidad de desarrollo, puestos con baja o nula experiencia|Baja posibilidad de crecimiento, gran variabilidad de acuerdo a proyecto|2019-08-21|Current Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
Excelente empresa para una carrera|5|Gerente de Desarrollo de Negocios|Seriedad y Estabilidad por sobre todo|Presion por resultados y falta de vision de largo plazo|2019-09-09|Former Employee, More Than 8 Years|Buenos Aires|8|Empleado
Gran empresa, sobre todo si perteneces a la principal|4|Ventas tecnicas|Flexibilidad horaria, posibilidad de home working|Falta de transparencia en salarios y subidas.|2019-09-28|Current Employee, More Than 5 Years|Madrid|5|Empleado
Mucho aprendizaje|4|Desarrollador De Software|Buenas flexibilidades y prestaciones, además de que hay mucho aprendizaje|Crecer toma mucho tiempo y a veces se siente obsoleta|2019-11-26|Current Employee, More Than 1 Year|Guadalajara, Jalisco|1|Empleado
Analista Técnico ISeries|5|Analista De Sistemas|Aprendizaje constante, buen nivel de técnicas|Mucha rotación de clientes muy rápido|2020-02-19|Former Employee, More Than 5 Years|Buenos Aires|5|Empleado
Ventaja y desventaja en IBM|4|Líder técnico|obra social y trabajo remoto|No esta en el rango salarial de una empresa internacional|2020-04-21|Current Employee, More Than 3 Years|Córdoba|3|Empleado
Recomendable para empezar|3|Empleado anónimo|Aprendes bastante_x000D_ Buen ambiente laboral_x000D_ Pago a tiempo|Sueldos bajos_x000D_ No muy buena comunicaion entre proyectos|2020-06-12|Former Employee|Buenos Aires|Desconocida|Exempleado
excelente|5|Especialista en marketing|la cultura empresarial y el desarrollo profesional|ninguna desventaja resulta de trabajar para IBM|2020-07-21|Former Employee, More Than 10 Years|Buenos Aires|10|Empleado
Un gran lugar para crecer|4|Vendedor|Múltiples oportunidades para aprender._x000D_ Acceso a mucho recursos y opciones profesionales.|Demasiado burocrática._x000D_ Paga por debajo de la media.|2020-08-26|Current Employee|Madrid|Desconocida|Empleado
Buenas prestaciones!|5|Empleado anónimo|caja de ahorro, fondo de ahorro, plan de retiro|lo vales de despensa no se aceptan en todos lados|2020-09-10|Current Employee, More Than 10 Years|Unknown|10|Empleado
Evaluación General|4|Gerente|Excelente compañia con innovacion y solidos principios|Rigidez en el desarrollo de modelos comerciales|2020-10-01|Former Employee, More Than 8 Years|Buenos Aires|8|Empleado
Muy buen sitio|5|Gerente de Proyectos TI|Excelente ambiente de trabajo, buen ambiente y gran variedad de proyectos interesantes|Ninguna. No puedo decir nada malo|2020-10-13|Former Employee|Unknown|Desconocida|Exempleado
IBM|5|Gerente de TI/CIO|Una empresa con muchas oportunidades de aprender y desarrollarse en un ambiente diverso e inclusivo.|Es una empresa muy grande|2020-10-21|Current Employee|Buenos Aires|Desconocida|Empleado
Evaluación IBM|5|Gerente Sénior de Proyectos|Condiciones laborales, sueldo, experiencias, contacto con tecnologías|Vinculación con otros departamentos, gobierno de IT|2020-11-25|Former Employee|Ciudad De Mexico|Desconocida|Exempleado
Muy buena empresa|4|Diseñador UX-UI|Flexibilidad para trabajar remotamente e interesantes prestaciones|Contrataciones por outsourcing y en ocaciones hay mucho nepotismos en ciertas areas|2021-01-08|Current Employee|Guadalajara, Jalisco|Desconocida|Empleado
flexibiidad y beneficios no monetarios|3|controlador financiero|flexibilidad con home office, horario flexble|salarios bajos, bonos inexistentes, muchos jefes con poca orientacion a cuidar empleados|2021-01-15|Current Employee|Buenos Aires|Desconocida|Empleado
Gran experiencia laboral, empresa recomendable para crecer|4|Gerente de proyecto|Amplio desarrollo de carrera_x000D_ Flexibilidad_x000D_ Bance vida persona - laboral|Ajustes salariales con poco margen de aumento|2021-01-22|Former Employee, More Than 8 Years|Buenos Aires|8|Empleado
Comentarios sobre IBM en GDL|4|Arquitecto de sistemas sénior|Buen ambiente laboral. Excelente plataforma de aprendizaje. Respeto.|Burocracia. Prestaciones por debajo de competidores a nivel gerencial/directivo|2021-04-28|Former Employee, More Than 8 Years|Guadalajara, Jalisco|8|Empleado
IBM|2|jefe de equipo|-Crecimiento_x000D_ -Conocimiento de proyectos_x000D_ -Trato con cliente|-jornadas largas de trabajo_x000D_ -procesos tras procesos_x000D_ -Muchos jefes|2021-04-30|Current Employee|Ciudad De Mexico|Desconocida|Empleado
Bueno|4|Analista De Impuestos Junior|Buen ambiente laboral, flexible, home office, pagan las horas extras|Tardan muchisimo en ascenderte, los sueldos son basicos, no hay bonos|2021-05-11|Current Employee, More Than 3 Years|Buenos Aires|3|Empleado
Gran Compañia|5|Analista de negocios|Balance entre vida y trabajo, prestaciones geniales, ambiente laboral 100%|Antes del covid, la distancia del campus, muy retirado|2021-05-13|Current Employee, More Than 1 Year|Zapopan|1|Empleado
Buenas prestaciones|4|Desarrollador de aplicaciones|SGMM, Vales de despensa todapos, Seguro dental, Seguro de visión|Si entras como IBM SP no tienes fondo de ahorro|2021-05-19|Current Employee|Guadalajara, Jalisco|Desconocida|Empleado
Scrum master|4|consultor sénior|viajes a la oficina del cliente cuando se podia|con el covid estamos trabajando desde casa y es un rollo|2021-05-21|Current Employee, More Than 3 Years|Madrid|3|Empleado
Trato regular y perspectiva neutra hacia la empresa|2|Consultor de seguridad SAP|Learning SAP y muchos cursos para tomar|Baja compensacion salarial y mala cultura laboral|2021-05-21|Current Employee|Monterrey, Nuevo León|Desconocida|Empleado
Trabajar en IBM|4|Analista de negocios|Desarrollo Profesional_x000D_ Buena Obra Social _x000D_ Cambio de rol/especialidad accesible|Crecimiento Vertical lento_x000D_ Poca Visibilidad_x000D_ Menos beneficios que la mayoría de las empresas|2021-05-24|Current Employee, More Than 1 Year|Buenos Aires|1|Empleado
IBM cuida a sus empleados|5|Gerente de proyecto|Facilidades para trabajar y prestaciones superiores a la ley|Estancamiento en los niveles una vez contratado|2021-07-01|Current Employee|Ciudad De Mexico|Desconocida|Empleado
Muy buena empresa|5|Analista De Sistemas|Posibilidad de crecimiento y de cursos para aprender. Posibilidad de recorrer otros puestos.|Pagan menos que otras empresas|2021-07-07|Current Employee|Buenos Aires|Desconocida|Empleado
Becario Calidad|5|Becario Calidad|Alto sentido humano / Muy buen ambiente laboral, internaional.|No hay contratación directa después del programa de practicas|2015-12-08|Former Employee|Ciudad De Mexico|Desconocida|Exempleado
Onboarding|4|Ejecutivo de Negocios para el Desarrollo|A cargo de mis compañeros de trabajo buena disposicion .|Podira ser intergrado de forma inicial, establecido de forma clara.|2016-11-04|Current Employee, Less Than 1 Year|Santiago|0|Empleado
Mala|1|Planificador Senior|A ibm se le considera como una empresa Estable para trabajar, ya que segun los jefes no hay presupuesto para correr gente, buenas prestaciones,|Algunos liderazgos se ven maleados por las porpias mafias y grupos de poder que mantienen a los suyos con los beneficios y a los demas no reparten equitativamente|2017-10-05|Current Employee|Ciudad De Mexico|Desconocida|Empleado
IBM|5|Coordinador de Servicios|Líderes en transformación de tecnologías.|No hay mucha gente joven trabajando, son las mismas personas desde hace 25 años.|2019-08-28|Current Employee, Less Than 1 Year|Ciudad De Mexico|0|Empleado
1 año y medio|5|Experto en la materia|Muy flexible y buena forma de trabajo|Se crece lento pero llega un punto donde vuelas|2019-08-29|Current Employee, More Than 1 Year|Ciudad De Mexico|1|Empleado
Analista SAP|4|Analista y soporte SAP|Sueldo competitivo, buenas prestaciones y oportunidades de crecimiento|Aumento de sueldo no tan rápido|2019-09-03|Current Employee, More Than 3 Years|Guadalajara, Jalisco|3|Empleado
Evaluación IBM|3|Empleado anónimo|Homeworking, capacitaciones y horarios flexibles|Sueldos bajos y poco crecimiento.|2019-09-04|Current Employee|Unknown|Desconocida|Empleado
No recomendable|2|Soporte Técnico|Si te toca un buen gerente como a mi tenes suerte|Mal sueldo. No parece haber interes en el progreso.|2019-10-09|Current Employee, More Than 3 Years|General Pacheco|3|Empleado
Mejorable|3|Gerente de proyecto|Empleo fijo con continuidad laboral_x000D_ Posibilidad de aprender siempre en tiempo extra, pero buena plataforma de learning|Sueldos medios_x000D_ Poca proyección de carrera|2019-10-30|Current Employee, More Than 5 Years|Buenos Aires|5|Empleado
Gran empresa|5|ingeniero de soporte técnico|En genera todo, dado su tamaño y solvencia|El ser tan grande tambien es desventaja, se despersonaliza mucho|2019-10-31|Current Employee, More Than 1 Year|Madrid|1|Empleado
Comparacion de sueldos|4|Operador de Computadora - Operaciones de Consola Distribuida|Excelente ambiente de trabajo, gran cantidad de clientes, tecnologia de punta|Pocos beneficios comparado con otras empresas grandes|2020-01-14|Current Employee, Less Than 1 Year|Buenos Aires|0|Empleado
Empresa|4|Desarrollador Web|IBM de Mexico tiene buenas prestaciones y buen ambiente laboral.|De verdad es retirado, sigue siendo una planta industrial adaptada|2020-02-11|Current Employee, More Than 1 Year|Unknown|1|Empleado
Analista tecnico funcional|3|Analista|Mucho concimiento, renombre de la empresa|No se presta mucha atención a los empleados que trabajan en los clientes|2020-02-13|Current Employee, More Than 1 Year|Unknown|1|Empleado
