Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source,AgeStartedWorking
37,Voluntary Resignation,Travel_Rarely,Human Resources,6,Master,Human Resources,1,Female,2,1,Human Resources,1,Married,2342,0,No,21,4,1,0,8,0,1,6,4,0,5,Referral,29
37,Voluntary Resignation,Travel_Rarely,Human Resources,6,Master,Marketing,1,Female,3,2,Sales Executive,4,Single,5993,5,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,29
41,Voluntary Resignation,Travel_Rarely,Sales,1,College,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,8,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,33
41,Voluntary Resignation,Travel_Rarely,Sales,1,College,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,4,Yes,11,3,1,0,8,0,1,6,4,0,5,Referral,33
49,Current employee,Travel_Frequently,Research & Development,8,Below college,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,1,No,23,3,4,1,10,3,3,10,7,1,7,Seek,39
59,Current employee,Non-Travel,Human Resources,2,Master,Human Resources,1,Male,2,2,Research Scientist,2,Married,5130,1,No,23,3,4,1,10,3,3,10,7,1,7,Seek,49
59,Current employee,Non-Travel,Human Resources,2,Master,Life Sciences,1,Male,2,2,Research Scientist,2,Married,5130,2,No,23,3,4,1,10,3,3,10,7,1,7,Seek,49
49,Current employee,Travel_Frequently,Research & Development,8,Below college,Marketing,3,Male,2,2,Research Scientist,2,Married,5130,3,No,23,3,4,1,10,3,3,10,7,1,7,Seek,39
49,Current employee,Travel_Frequently,Research & Development,8,Below college,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,1,No,23,4,4,1,10,3,3,10,7,1,7,Seek,39
49,Current employee,Travel_Frequently,Research & Development,8,Below college,Marketing,3,Male,2,2,Research Scientist,2,Married,5130,3,No,23,4,4,1,10,3,3,10,7,1,7,Seek,39
59,Current employee,Non-Travel,Human Resources,2,Master,Human Resources,1,Male,2,2,Research Scientist,2,Married,5130,1,No,23,4,4,1,10,3,3,10,7,1,7,Seek,49
59,Current employee,Non-Travel,Human Resources,2,Master,Life Sciences,1,Male,2,2,Research Scientist,2,Married,5130,2,No,23,4,4,1,16,3,2,14,8,6,9,Seek,43
49,Current employee,Travel_Frequently,Research & Development,8,Below college,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,1,No,23,3,4,1,10,3,3,10,7,1,7,Seek,39
49,Current employee,Travel_Frequently,Research & Development,8,Below college,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,1,No,13,3,3,0,6,3,3,6,5,0,3,Indeed,43
49,Current employee,Travel_Frequently,Research & Development,8,Below college,Life Sciences,3,Female,3,2,Manufacturing Director,3,Divorced,4810,2,No,14,3,3,1,19,5,2,10,7,0,8,Referral,30
59,Current employee,Non-Travel,Human Resources,2,Master,Human Resources,1,Male,2,2,Research Scientist,2,Married,5130,1,No,23,3,4,1,10,3,3,10,7,1,7,Seek,49
59,Current employee,Non-Travel,Human Resources,2,Master,Life Sciences,1,Male,2,2,Research Scientist,2,Married,5130,2,No,23,3,4,1,10,3,3,10,7,1,7,Seek,49
49,Current employee,Travel_Frequently,Research & Development,8,Below college,Marketing,3,Male,2,2,Research Scientist,2,Married,5130,3,No,23,3,4,1,10,3,3,10,7,1,7,Seek,39
49,Current employee,Travel_Frequently,Research & Development,8,Below college,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,1,No,23,4,4,1,10,3,3,10,7,1,7,Seek,39
49,Current employee,Travel_Frequently,Research & Development,8,Below college,Marketing,3,Male,2,2,Research Scientist,2,Married,5130,3,No,23,4,4,1,10,3,3,10,7,1,7,Seek,39
59,Current employee,Non-Travel,Human Resources,2,Master,Human Resources,1,Male,2,2,Research Scientist,2,Married,5130,1,No,23,4,4,1,10,3,3,10,7,1,7,Seek,49
59,Current employee,Non-Travel,Human Resources,2,Master,Life Sciences,1,Male,2,2,Research Scientist,2,Married,5130,2,No,23,4,4,1,16,3,2,14,8,6,9,Seek,43
54,Current employee,Non-Travel,Human Resources,26,Bachelor,Human Resources,1,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,47
37,Voluntary Resignation,Travel_Rarely,Research & Development,2,College,Life Sciences,4,Male,2,1,Laboratory Technician,3,Single,2090,1,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,30
54,Current employee,Non-Travel,Human Resources,26,Bachelor,Technical Degree,1,Male,2,1,Laboratory Technician,3,Single,2090,1,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,47
37,Voluntary Resignation,Travel_Rarely,Research & Development,2,College,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,30
37,Voluntary Resignation,Travel_Rarely,Research & Development,2,College,Life Sciences,4,Male,2,1,Laboratory Technician,3,Single,2090,1,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,30
54,Current employee,Non-Travel,Human Resources,26,Bachelor,Human Resources,1,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,47
37,Voluntary Resignation,Travel_Rarely,Research & Development,2,College,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,30
37,Voluntary Resignation,Travel_Rarely,Research & Development,2,College,Other,2,Male,3,3,Research Scientist,1,Divorced,9724,2,No,17,3,3,1,25,2,3,1,0,0,0,Company Website,12
37,Voluntary Resignation,Travel_Rarely,Research & Development,2,College,Other,4,Female,2,2,Healthcare Representative,4,Married,4523,0,No,11,4,4,3,7,4,4,6,5,0,4,Company Website,30
54,Current employee,Non-Travel,Human Resources,26,Bachelor,Human Resources,1,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,47
37,Voluntary Resignation,Travel_Rarely,Research & Development,2,College,Life Sciences,4,Male,2,1,Laboratory Technician,3,Single,2090,1,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,30
54,Current employee,Non-Travel,Human Resources,26,Bachelor,Technical Degree,1,Male,2,1,Laboratory Technician,3,Single,2090,1,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,47
37,Voluntary Resignation,Travel_Rarely,Research & Development,2,College,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,30
37,Voluntary Resignation,Travel_Rarely,Research & Development,2,College,Life Sciences,4,Male,2,1,Laboratory Technician,3,Single,2090,1,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,30
54,Current employee,Non-Travel,Human Resources,26,Bachelor,Human Resources,1,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0,Seek,47
33,Current employee,Travel_Frequently,Research & Development,3,Master,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,25
30,Current employee,Travel_Rarely,Human Resources,9,Bachelor,Human Resources,1,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,22
33,Current employee,Travel_Frequently,Research & Development,3,Master,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,2,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,25
30,Current employee,Travel_Rarely,Human Resources,9,Bachelor,Medical,1,Female,3,1,Research Scientist,3,Married,2909,3,Yes,11,4,3,0,8,3,3,8,7,3,0,Seek,22
30,Current employee,Travel_Rarely,Human Resources,9,Bachelor,Human Resources,1,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,22
30,Current employee,Travel_Rarely,Human Resources,9,Bachelor,Medical,1,Female,3,1,Research Scientist,3,Married,2909,3,Yes,11,3,3,0,8,3,3,8,7,3,0,Company Website,22
33,Current employee,Travel_Frequently,Research & Development,3,Master,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,25
33,Current employee,Travel_Frequently,Research & Development,3,Master,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,2,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,25
33,Current employee,Travel_Frequently,Research & Development,3,Master,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,25
33,Current employee,Travel_Frequently,Research & Development,3,Master,Life Sciences,2,Male,3,1,Research Scientist,1,Married,2194,4,No,13,3,4,1,5,2,2,3,2,1,2,Company Website,28
33,Current employee,Travel_Frequently,Research & Development,3,Master,Life Sciences,1,Female,3,1,Sales Representative,2,Single,3202,1,Yes,16,4,2,0,6,4,3,5,3,1,4,Company Website,27
30,Current employee,Travel_Rarely,Human Resources,9,Bachelor,Human Resources,1,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,22
33,Current employee,Travel_Frequently,Research & Development,3,Master,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,2,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,25
30,Current employee,Travel_Rarely,Human Resources,9,Bachelor,Medical,1,Female,3,1,Research Scientist,3,Married,2909,3,Yes,11,4,3,0,8,3,3,8,7,3,0,Seek,22
30,Current employee,Travel_Rarely,Human Resources,9,Bachelor,Human Resources,1,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,22
30,Current employee,Travel_Rarely,Human Resources,9,Bachelor,Medical,1,Female,3,1,Research Scientist,3,Married,2909,3,Yes,11,3,3,0,8,3,3,8,7,3,0,Company Website,22
33,Current employee,Travel_Frequently,Research & Development,3,Master,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,25
33,Current employee,Travel_Frequently,Research & Development,3,Master,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,2,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,25
27,Current employee,Travel_Rarely,Research & Development,2,Below college,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,Seek,21
31,Current employee,Travel_Rarely,Human Resources,2,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,Seek,25
27,Current employee,Travel_Rarely,Research & Development,2,Below college,Life Sciences,1,Male,3,1,Laboratory Technician,2,Married,3468,1,No,12,4,4,1,6,3,3,2,2,2,2,Seek,21
31,Current employee,Travel_Rarely,Human Resources,2,Bachelor,Life Sciences,1,Male,3,1,Laboratory Technician,2,Married,3468,1,No,12,3,4,1,6,3,3,2,2,2,2,Seek,25
27,Current employee,Travel_Rarely,Research & Development,2,Below college,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,Indeed,21
27,Current employee,Travel_Rarely,Research & Development,2,Below college,Life Sciences,1,Male,3,1,Laboratory Technician,2,Married,3468,1,No,12,3,4,1,6,3,3,2,2,2,2,Seek,21
31,Current employee,Travel_Rarely,Human Resources,2,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,Seek,25
31,Current employee,Travel_Rarely,Human Resources,2,Bachelor,Life Sciences,1,Male,3,1,Laboratory Technician,2,Married,3468,1,No,12,3,4,1,6,3,3,2,2,2,2,Seek,25
27,Current employee,Travel_Rarely,Research & Development,2,Below college,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,Seek,21
27,Current employee,Travel_Rarely,Research & Development,2,Below college,Medical,4,Male,2,1,Research Scientist,3,Married,3388,0,Yes,17,3,1,1,2,0,2,1,0,0,0,Company Website,25
58,Current employee,Travel_Rarely,Sales,10,Master,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,0,No,13,3,3,0,38,1,2,37,10,1,8,Adzuna,20
26,Termination,Travel_Rarely,Research & Development,16,Master,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,2,Yes,13,3,4,1,5,2,3,3,2,0,2,Recruit.net,21
27,Current employee,Travel_Rarely,Research & Development,2,Below college,Medical,4,Female,1,1,Sales Representative,3,Divorced,2351,0,No,16,4,4,1,3,3,2,2,2,1,0,Company Website,24
25,Current employee,Travel_Rarely,Sales,13,Below college,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,1,No,11,4,3,0,7,1,3,7,4,0,6,Company Website,18
31,Current employee,Travel_Rarely,Human Resources,2,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,Seek,25
31,Current employee,Travel_Rarely,Sales,8,College,Life Sciences,1,Male,3,1,Laboratory Technician,2,Married,3468,4,No,12,4,2,2,8,2,4,3,2,1,2,GlassDoor,23
27,Current employee,Travel_Rarely,Research & Development,2,Below college,Life Sciences,1,Male,3,1,Laboratory Technician,2,Married,3468,1,No,12,4,4,1,6,3,3,2,2,2,2,Seek,21
31,Current employee,Travel_Rarely,Human Resources,2,Bachelor,Life Sciences,1,Male,3,1,Laboratory Technician,2,Married,3468,1,No,12,3,4,1,6,3,3,2,2,2,2,Seek,25
27,Current employee,Travel_Rarely,Research & Development,2,Below college,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,Indeed,21
27,Current employee,Travel_Rarely,Research & Development,2,Below college,Life Sciences,1,Male,3,1,Laboratory Technician,2,Married,3468,1,No,12,3,4,1,6,3,3,2,2,2,2,Seek,21
31,Current employee,Travel_Rarely,Human Resources,2,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,Seek,25
31,Current employee,Travel_Rarely,Human Resources,2,Bachelor,Life Sciences,1,Male,3,1,Laboratory Technician,2,Married,3468,1,No,12,3,4,1,6,3,3,2,2,2,2,Seek,25
32,Current employee,Travel_Frequently,Research & Development,2,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,Seek,24
34,Voluntary Resignation,Travel_Frequently,Human Resources,23,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,Seek,26
32,Current employee,Travel_Frequently,Research & Development,2,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,1,No,13,3,3,0,8,2,2,7,7,3,6,Seek,24
34,Voluntary Resignation,Travel_Frequently,Human Resources,23,Bachelor,Other,1,Male,3,1,Laboratory Technician,4,Single,3068,1,No,13,3,3,0,8,2,2,7,7,3,6,Seek,26
32,Current employee,Travel_Frequently,Research & Development,2,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,Seek,24
32,Current employee,Travel_Frequently,Research & Development,2,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,1,No,13,3,3,0,8,2,2,7,7,3,6,Seek,24
34,Voluntary Resignation,Travel_Frequently,Human Resources,23,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,Seek,26
34,Voluntary Resignation,Travel_Frequently,Human Resources,23,Bachelor,Other,1,Male,3,1,Laboratory Technician,4,Single,3068,1,No,13,3,3,0,8,2,2,7,7,3,6,Seek,26
32,Current employee,Travel_Frequently,Research & Development,2,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,Seek,24
32,Current employee,Travel_Frequently,Research & Development,2,College,Life Sciences,1,Female,2,2,Sales Executive,3,Single,5473,7,No,11,3,4,0,20,2,2,4,3,1,3,Company Website,12
44,Current employee,Non-Travel,Research & Development,23,Bachelor,Medical,4,Male,3,1,Laboratory Technician,4,Single,3068,4,No,12,4,3,1,17,3,4,3,2,1,2,Seek,27
28,Current employee,Travel_Rarely,Research & Development,8,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,1,No,21,3,4,0,5,3,3,5,3,0,2,Seek,23
32,Current employee,Travel_Frequently,Research & Development,2,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,1702,1,Yes,23,3,3,1,1,3,3,1,0,0,0,Adzuna,31
24,Voluntary Resignation,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,1,Yes,16,4,4,1,6,4,3,6,3,1,2,Company Website,18
34,Voluntary Resignation,Travel_Frequently,Human Resources,23,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,Seek,26
36,Current employee,Travel_Frequently,Research & Development,18,Master,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,1,No,13,3,1,2,10,3,3,10,8,0,6,Jora,26
39,Voluntary Resignation,Non-Travel,Research & Development,2,Bachelor,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,4,No,19,3,3,1,10,2,3,6,1,0,5,Company Website,29
32,Current employee,Travel_Frequently,Research & Development,2,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,1,No,13,3,3,0,8,2,2,7,7,3,6,Seek,24
34,Voluntary Resignation,Travel_Frequently,Human Resources,23,Bachelor,Other,1,Male,3,1,Laboratory Technician,4,Single,3068,1,No,13,3,3,0,8,2,2,7,7,3,6,Seek,26
32,Current employee,Travel_Frequently,Research & Development,2,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,Seek,24
34,Voluntary Resignation,Travel_Frequently,Human Resources,23,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,Seek,26
34,Voluntary Resignation,Travel_Frequently,Human Resources,23,Bachelor,Other,1,Male,3,1,Laboratory Technician,4,Single,3068,1,No,13,3,3,0,8,2,2,7,7,3,6,Seek,26
59,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,3,1,3,12,3,2,1,0,0,0,Seek,47
41,Current employee,Travel_Rarely,Human Resources,10,Master,Human Resources,1,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,3,1,3,12,3,2,1,0,0,0,Seek,29
59,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,3,Female,4,1,Laboratory Technician,1,Married,2670,1,Yes,20,3,1,3,12,3,2,1,0,0,0,Seek,47
41,Current employee,Travel_Rarely,Human Resources,10,Master,Medical,1,Female,4,1,Laboratory Technician,1,Married,2670,1,Yes,20,3,1,3,12,3,2,1,0,0,0,Seek,29
41,Current employee,Travel_Rarely,Human Resources,10,Master,Human Resources,1,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,4,1,3,12,3,2,1,0,0,0,Seek,29
41,Current employee,Travel_Rarely,Human Resources,10,Master,Medical,1,Female,4,1,Laboratory Technician,1,Married,2670,1,Yes,20,4,1,3,12,3,2,1,0,0,0,Seek,29
59,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,4,1,3,12,3,2,1,0,0,0,Seek,47
59,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,3,Female,4,1,Manufacturing Director,3,Married,6132,1,No,17,3,3,0,10,3,3,0,0,0,0,Seek,49
59,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,3,1,3,12,3,2,1,0,0,0,Seek,47
59,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Medical,3,Male,3,1,Research Scientist,2,Married,2703,0,No,23,3,4,1,6,3,3,5,4,0,4,Jora,53
37,Voluntary Resignation,Travel_Rarely,Human Resources,6,Master,Human Resources,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,22,3,4,0,7,3,3,3,2,0,2,Company Website,30
49,Current employee,Travel_Frequently,Research & Development,10,Master,Life Sciences,3,Female,4,1,Laboratory Technician,1,Married,2670,9,Yes,11,3,4,0,22,4,3,3,2,1,2,Jora,27
59,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Medical,3,Female,3,5,Manager,3,Married,18041,0,No,14,3,4,0,21,2,3,20,15,1,12,GlassDoor,38
30,Voluntary Resignation,Travel_Frequently,Sales,12,Master,Life Sciences,3,Female,4,1,Laboratory Technician,1,Married,2670,1,No,18,3,3,1,1,2,4,1,0,0,0,Company Website,29
41,Current employee,Travel_Rarely,Human Resources,10,Master,Human Resources,1,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,3,1,3,12,3,2,1,0,0,0,Seek,29
41,Current employee,Travel_Rarely,Sales,2,Master,Life Sciences,3,Female,4,1,Laboratory Technician,1,Married,2670,2,Yes,20,3,4,1,13,3,1,7,7,4,5,LinkedIn,28
31,Voluntary Resignation,Travel_Frequently,Research & Development,1,Doctor,Life Sciences,3,Female,4,1,Laboratory Technician,1,Married,2670,9,No,21,3,3,1,10,3,2,5,4,0,1,Indeed,21
59,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,3,Female,4,1,Laboratory Technician,1,Married,2670,1,Yes,20,3,1,3,12,3,2,1,0,0,0,Seek,47
41,Current employee,Travel_Rarely,Human Resources,10,Master,Medical,1,Female,4,1,Laboratory Technician,1,Married,2670,1,Yes,20,3,1,3,12,3,2,1,0,0,0,Seek,29
41,Current employee,Travel_Rarely,Human Resources,10,Master,Human Resources,1,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,4,1,3,12,3,2,1,0,0,0,Seek,29
41,Current employee,Travel_Rarely,Human Resources,10,Master,Medical,1,Female,4,1,Laboratory Technician,1,Married,2670,1,Yes,20,4,1,3,12,3,2,1,0,0,0,Seek,29
59,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,4,1,3,12,3,2,1,0,0,0,Seek,47
30,Current employee,Travel_Rarely,Research & Development,24,Below college,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,3,2,1,1,2,3,1,0,0,0,Seek,29
41,Current employee,Travel_Rarely,Human Resources,1,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,3,2,1,1,2,3,1,0,0,0,Seek,40
41,Current employee,Travel_Rarely,Human Resources,1,Bachelor,Life Sciences,1,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,3,2,1,1,2,3,1,0,0,0,Seek,40
30,Current employee,Travel_Rarely,Research & Development,24,Below college,Other,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,3,2,1,1,2,3,1,0,0,0,Seek,29
30,Current employee,Travel_Rarely,Research & Development,24,Below college,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,4,2,1,1,2,3,1,0,0,0,Seek,29
30,Current employee,Travel_Rarely,Research & Development,24,Below college,Other,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,4,2,1,1,2,3,1,0,0,0,LinkedIn,29
41,Current employee,Travel_Rarely,Human Resources,1,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,4,2,1,1,2,3,1,0,0,0,Seek,40
41,Current employee,Travel_Rarely,Human Resources,1,Bachelor,Life Sciences,1,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,4,2,1,1,2,3,1,0,0,0,Seek,40
30,Current employee,Travel_Rarely,Research & Development,24,Below college,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,3,2,1,1,2,3,1,0,0,0,Seek,29
