Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source,AgeStartedWorking
33,Current employee,Travel_Frequently,Research & Development,3,Master,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,25
30,Current employee,Travel_Rarely,Human Resources,9,Bachelor,Human Resources,1,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,Seek,22
33,Current employee,Travel_Frequently,Research & Development,3,Master,Life Sciences,2,Male,3,1,Research Scientist,1,Married,2194,4,No,13,3,4,1,5,2,2,3,2,1,2,Company Website,28
33,Current employee,Travel_Frequently,Research & Development,3,Master,Life Sciences,1,Female,3,1,Sales Representative,2,Single,3202,1,Yes,16,4,2,0,6,4,3,5,3,1,4,Company Website,27
27,Current employee,Travel_Rarely,Research & Development,2,Below college,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,Seek,21
31,Current employee,Travel_Rarely,Human Resources,2,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,Seek,25
27,Current employee,Travel_Rarely,Research & Development,2,Below college,Medical,4,Male,2,1,Research Scientist,3,Married,3388,0,Yes,17,3,1,1,2,0,2,1,0,0,0,Company Website,25
58,Current employee,Travel_Rarely,Sales,10,Master,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,0,No,13,3,3,0,38,1,2,37,10,1,8,Adzuna,20
26,Termination,Travel_Rarely,Research & Development,16,Master,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,2,Yes,13,3,4,1,5,2,3,3,2,0,2,Recruit.net,21
27,Current employee,Travel_Rarely,Research & Development,2,Below college,Medical,4,Female,1,1,Sales Representative,3,Divorced,2351,0,No,16,4,4,1,3,3,2,2,2,1,0,Company Website,24
25,Current employee,Travel_Rarely,Sales,13,Below college,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,1,No,11,4,3,0,7,1,3,7,4,0,6,Company Website,18
31,Current employee,Travel_Rarely,Sales,8,College,Life Sciences,1,Male,3,1,Laboratory Technician,2,Married,3468,4,No,12,4,2,2,8,2,4,3,2,1,2,GlassDoor,23
32,Current employee,Travel_Frequently,Research & Development,2,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,Seek,24
34,Voluntary Resignation,Travel_Frequently,Human Resources,23,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,Seek,26
32,Current employee,Travel_Frequently,Research & Development,2,College,Life Sciences,1,Female,2,2,Sales Executive,3,Single,5473,7,No,11,3,4,0,20,2,2,4,3,1,3,Company Website,12
44,Current employee,Non-Travel,Research & Development,23,Bachelor,Medical,4,Male,3,1,Laboratory Technician,4,Single,3068,4,No,12,4,3,1,17,3,4,3,2,1,2,Seek,27
28,Current employee,Travel_Rarely,Research & Development,8,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,1,No,21,3,4,0,5,3,3,5,3,0,2,Seek,23
32,Current employee,Travel_Frequently,Research & Development,2,College,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,1702,1,Yes,23,3,3,1,1,3,3,1,0,0,0,Adzuna,31
24,Voluntary Resignation,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,1,Yes,16,4,4,1,6,4,3,6,3,1,2,Company Website,18
36,Current employee,Travel_Frequently,Research & Development,18,Master,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,1,No,13,3,1,2,10,3,3,10,8,0,6,Jora,26
39,Voluntary Resignation,Non-Travel,Research & Development,2,Bachelor,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,4,No,19,3,3,1,10,2,3,6,1,0,5,Company Website,29
59,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,3,1,3,12,3,2,1,0,0,0,Seek,47
41,Current employee,Travel_Rarely,Human Resources,10,Master,Human Resources,1,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,3,1,3,12,3,2,1,0,0,0,Seek,29
59,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,3,Female,4,1,Manufacturing Director,3,Married,6132,1,No,17,3,3,0,10,3,3,0,0,0,0,Seek,49
59,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Medical,3,Male,3,1,Research Scientist,2,Married,2703,0,No,23,3,4,1,6,3,3,5,4,0,4,Jora,53
37,Voluntary Resignation,Travel_Rarely,Human Resources,6,Master,Human Resources,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,22,3,4,0,7,3,3,3,2,0,2,Company Website,30
49,Current employee,Travel_Frequently,Research & Development,10,Master,Life Sciences,3,Female,4,1,Laboratory Technician,1,Married,2670,9,Yes,11,3,4,0,22,4,3,3,2,1,2,Jora,27
59,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Medical,3,Female,3,5,Manager,3,Married,18041,0,No,14,3,4,0,21,2,3,20,15,1,12,GlassDoor,38
30,Voluntary Resignation,Travel_Frequently,Sales,12,Master,Life Sciences,3,Female,4,1,Laboratory Technician,1,Married,2670,1,No,18,3,3,1,1,2,4,1,0,0,0,Company Website,29
41,Current employee,Travel_Rarely,Sales,2,Master,Life Sciences,3,Female,4,1,Laboratory Technician,1,Married,2670,2,Yes,20,3,4,1,13,3,1,7,7,4,5,LinkedIn,28
31,Voluntary Resignation,Travel_Frequently,Research & Development,1,Doctor,Life Sciences,3,Female,4,1,Laboratory Technician,1,Married,2670,9,No,21,3,3,1,10,3,2,5,4,0,1,Indeed,21
30,Current employee,Travel_Rarely,Research & Development,24,Below college,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,3,2,1,1,2,3,1,0,0,0,Seek,29
41,Current employee,Travel_Rarely,Human Resources,1,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,3,2,1,1,2,3,1,0,0,0,Seek,40
30,Current employee,Travel_Rarely,Research & Development,24,Below college,Life Sciences,3,Male,3,1,Research Scientist,2,Single,2501,1,No,17,3,2,0,1,4,3,1,1,1,0,LinkedIn,29
32,Current employee,Travel_Rarely,Research & Development,1,Below college,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,13,3,4,0,1,2,3,1,0,0,0,Indeed,31
36,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Technical Degree,4,Male,3,1,Laboratory Technician,3,Divorced,2693,4,No,12,3,4,0,10,2,3,8,0,7,7,Company Website,26
30,Current employee,Travel_Rarely,Research & Development,24,Below college,Life Sciences,1,Female,3,1,Research Scientist,4,Divorced,2886,1,No,22,3,2,2,3,3,1,3,2,0,2,Company Website,27
34,Current employee,Travel_Rarely,Research & Development,1,College,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,Yes,13,3,4,1,6,3,3,6,5,1,3,Company Website,28
36,Current employee,Non-Travel,Research & Development,24,Master,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,8,No,18,3,3,1,20,2,1,17,9,0,15,Recruit.net,16
31,Voluntary Resignation,Travel_Frequently,Research & Development,2,Bachelor,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,Yes,14,3,4,0,0,3,3,0,0,0,0,Jora,31
38,Current employee,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,0,No,21,3,2,0,10,2,3,9,7,1,8,Seek,28
39,Current employee,Travel_Rarely,Human Resources,3,Bachelor,Human Resources,1,Male,2,3,Manufacturing Director,3,Single,9526,0,No,21,3,2,0,10,2,3,9,7,1,8,Seek,29
38,Current employee,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,2,Male,3,2,Research Scientist,2,Married,6220,1,No,17,3,2,2,10,3,3,10,4,0,9,Recruit.net,28
20,Voluntary Resignation,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,1,Yes,18,3,2,0,1,5,3,1,0,1,0,Adzuna,19
31,Current employee,Travel_Frequently,Sales,5,Bachelor,Marketing,4,Male,2,3,Manufacturing Director,3,Single,9526,1,No,11,4,3,1,2,5,2,2,2,2,2,Company Website,29
38,Current employee,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,3,Male,3,1,Laboratory Technician,4,Married,2097,4,No,15,3,3,1,9,3,1,5,3,1,4,Indeed,29
31,Voluntary Resignation,Travel_Rarely,Sales,13,Master,Medical,4,Male,2,3,Manufacturing Director,3,Single,9526,2,No,17,3,3,0,9,2,1,3,1,1,2,Seek,22
32,Current employee,Travel_Rarely,Sales,7,Bachelor,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,1,No,14,3,4,0,9,2,3,9,8,3,7,Company Website,23
44,Current employee,Non-Travel,Research & Development,5,Bachelor,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,3,No,15,3,3,1,20,2,3,1,0,0,1,LinkedIn,24
38,Current employee,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,4,Male,2,2,Human Resources,4,Single,3886,0,No,21,4,2,0,10,2,3,9,7,1,8,Seek,28
39,Voluntary Resignation,Travel_Rarely,Sales,3,Bachelor,Life Sciences,1,Male,2,3,Manufacturing Director,3,Single,9526,4,Yes,18,3,1,0,12,3,2,1,0,0,0,LinkedIn,27
40,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,1,Male,2,3,Manufacturing Director,3,Single,9526,8,No,14,3,2,1,5,4,3,1,0,0,0,LinkedIn,35
41,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,1,Male,2,3,Manufacturing Director,3,Single,9526,2,No,14,3,3,0,7,2,4,1,0,0,0,Indeed,34
44,Current employee,Travel_Frequently,Human Resources,3,Bachelor,Life Sciences,1,Male,2,3,Manufacturing Director,3,Single,9526,0,Yes,11,3,3,0,14,3,3,10,7,0,2,Seek,30
45,Current employee,Non-Travel,Sales,3,Bachelor,Life Sciences,1,Male,2,3,Manufacturing Director,3,Single,9526,0,No,11,3,4,1,16,2,2,15,1,0,9,Company Website,29
45,Current employee,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,1,Male,2,3,Manufacturing Director,3,Single,9526,3,No,21,4,4,2,8,3,2,2,2,0,2,Recruit.net,37
47,Current employee,Travel_Rarely,Sales,3,Bachelor,Life Sciences,1,Male,2,3,Manufacturing Director,3,Single,9526,1,Yes,11,3,3,3,20,3,3,20,8,3,8,Company Website,27
36,Current employee,Travel_Rarely,Research & Development,27,Bachelor,Medical,3,Male,3,2,Healthcare Representative,3,Married,5237,6,No,13,3,2,2,17,3,2,7,7,7,7,Seek,19
36,Current employee,Travel_Rarely,Human Resources,13,Bachelor,Human Resources,1,Male,3,2,Healthcare Representative,3,Married,5237,6,No,13,3,2,2,17,3,2,7,7,7,7,Seek,19
36,Current employee,Travel_Rarely,Research & Development,27,Bachelor,Medical,2,Female,4,1,Laboratory Technician,4,Married,3038,3,No,12,3,2,0,5,3,3,1,0,0,0,Seek,31
34,Current employee,Travel_Rarely,Research & Development,6,Master,Other,3,Male,3,2,Healthcare Representative,3,Married,5237,1,No,14,3,3,0,16,3,3,16,13,2,10,GlassDoor,18
26,Voluntary Resignation,Travel_Rarely,Sales,4,Master,Marketing,3,Male,3,2,Healthcare Representative,3,Married,5237,1,Yes,12,3,2,0,8,0,3,8,7,7,4,Company Website,18
36,Current employee,Travel_Rarely,Research & Development,27,Bachelor,Medical,2,Male,2,3,Research Director,3,Married,11935,1,No,18,3,3,0,10,2,3,10,2,0,7,Adzuna,26
35,Current employee,Travel_Rarely,Research & Development,25,College,Other,3,Male,3,2,Healthcare Representative,3,Married,5237,4,No,14,3,4,0,9,3,3,3,2,0,2,Jora,26
38,Current employee,Travel_Rarely,Research & Development,25,College,Life Sciences,3,Male,3,2,Healthcare Representative,3,Married,5237,1,No,13,3,1,1,10,1,3,10,7,0,9,Company Website,28
44,Current employee,Travel_Rarely,Research & Development,20,Bachelor,Life Sciences,3,Male,3,2,Healthcare Representative,3,Married,5237,2,Yes,17,3,1,0,10,3,3,8,7,0,7,Recruit.net,34
35,Current employee,Travel_Rarely,Research & Development,16,Bachelor,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,0,No,13,3,3,1,6,5,3,5,4,0,3,Seek,29
34,Current employee,Travel_Rarely,Human Resources,3,College,Human Resources,1,Male,4,1,Laboratory Technician,2,Married,2426,0,No,13,3,3,1,6,5,3,5,4,0,3,Seek,28
35,Current employee,Travel_Rarely,Research & Development,16,Bachelor,Medical,3,Female,3,2,Manufacturing Director,4,Single,4424,1,No,23,3,4,0,11,2,3,11,7,1,8,Seek,24
37,Current employee,Non-Travel,Research & Development,2,College,Life Sciences,1,Male,4,1,Laboratory Technician,2,Married,2426,5,No,14,3,4,1,17,2,4,1,0,0,0,Company Website,20
37,Current employee,Travel_Frequently,Research & Development,9,Bachelor,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,1,Yes,12,3,3,3,4,3,2,4,2,1,2,Company Website,33
35,Current employee,Travel_Rarely,Research & Development,16,Bachelor,Medical,3,Female,2,1,Research Scientist,2,Married,2546,5,No,16,3,2,0,6,2,4,2,2,1,1,GlassDoor,29
31,Current employee,Travel_Rarely,Sales,6,Master,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,4,No,22,3,4,2,13,4,4,7,7,5,7,LinkedIn,18
58,Current employee,Non-Travel,Research & Development,1,Master,Life Sciences,1,Male,4,1,Laboratory Technician,2,Married,2426,2,No,17,3,3,0,10,2,3,1,0,0,0,Company Website,48
30,Current employee,Travel_Rarely,Sales,16,Below college,Life Sciences,1,Male,4,1,Laboratory Technician,2,Married,2426,5,No,12,3,1,2,8,5,3,0,0,0,0,Seek,22
29,Current employee,Travel_Rarely,Research & Development,15,College,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,0,Yes,12,4,4,0,10,3,3,9,5,0,8,Seek,19
33,Current employee,Travel_Rarely,Human Resources,3,College,Human Resources,1,Female,2,2,Laboratory Technician,3,Single,4193,0,Yes,12,3,4,0,10,3,3,9,5,0,8,Seek,23
29,Current employee,Travel_Rarely,Research & Development,15,College,Life Sciences,3,Male,2,2,Sales Executive,1,Single,4312,0,No,14,3,2,0,16,2,3,15,13,2,8,LinkedIn,13
59,Current employee,Non-Travel,Human Resources,2,Master,Human Resources,4,Female,2,2,Laboratory Technician,3,Single,4193,9,No,21,3,4,1,30,3,3,3,2,2,2,Indeed,29
42,Current employee,Travel_Frequently,Sales,26,Bachelor,Marketing,4,Female,2,2,Laboratory Technician,3,Single,4193,5,No,14,3,4,1,23,2,4,20,4,4,8,Company Website,19
29,Current employee,Travel_Rarely,Research & Development,15,College,Life Sciences,1,Male,2,1,Human Resources,4,Single,2564,1,No,12,3,3,0,1,3,4,1,0,0,0,Company Website,28
27,Current employee,Travel_Rarely,Research & Development,6,Master,Medical,4,Female,2,2,Laboratory Technician,3,Single,4193,0,No,12,4,3,2,6,5,2,5,3,0,3,Recruit.net,21
45,Current employee,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,4,Yes,20,3,2,1,9,3,2,1,0,0,0,Company Website,36
57,Current employee,Travel_Rarely,Research & Development,1,College,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,1,No,16,4,4,0,5,3,3,5,4,0,3,Jora,52
33,Current employee,Travel_Rarely,Human Resources,3,College,Human Resources,1,Female,2,2,Laboratory Technician,3,Single,5985,4,No,11,3,2,0,10,1,4,2,2,0,2,Recruit.net,23
31,Current employee,Travel_Rarely,Research & Development,26,Below college,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,1,No,17,3,4,1,5,1,2,5,2,4,3,Seek,26
38,Current employee,Travel_Rarely,Human Resources,1,Bachelor,Human Resources,1,Male,3,1,Research Scientist,3,Divorced,2911,1,No,17,3,4,1,5,1,2,5,2,4,3,Seek,33
31,Current employee,Travel_Rarely,Research & Development,26,Below college,Life Sciences,4,Male,3,3,Research Director,1,Married,13245,4,Yes,14,3,2,0,17,3,4,0,0,0,0,Referral,14
50,Current employee,Travel_Frequently,Research & Development,1,Bachelor,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,3,Yes,19,3,1,0,28,1,2,8,3,0,7,Seek,22
18,Voluntary Resignation,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,1,No,13,3,3,0,0,2,3,0,0,0,0,Adzuna,18
31,Current employee,Travel_Rarely,Research & Development,26,Below college,Life Sciences,3,Female,3,3,Sales Executive,1,Married,8412,0,No,11,4,3,0,10,3,3,9,8,7,8,Indeed,21
37,Current employee,Travel_Rarely,Sales,2,Bachelor,Marketing,1,Male,3,1,Research Scientist,3,Divorced,2911,4,Yes,11,3,3,1,17,3,2,3,0,1,0,Seek,20
31,Current employee,Travel_Rarely,Research & Development,2,Master,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,7,No,11,3,1,1,15,2,2,12,11,2,11,Seek,16
49,Current employee,Travel_Rarely,Research & Development,7,Master,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,1,No,12,3,4,0,10,3,3,10,7,5,7,LinkedIn,39
38,Current employee,Travel_Rarely,Human Resources,1,Bachelor,Human Resources,1,Female,2,1,Research Scientist,3,Married,2814,2,Yes,14,3,2,0,4,2,2,4,2,1,3,Indeed,34
38,Current employee,Travel_Rarely,Human Resources,1,Bachelor,Human Resources,1,Male,3,2,Laboratory Technician,2,Single,6782,1,No,15,3,3,0,9,2,2,5,4,0,3,Jora,29
34,Current employee,Travel_Rarely,Research & Development,19,College,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,2661,0,No,11,3,3,1,3,2,3,2,2,1,2,Seek,31
33,Current employee,Travel_Rarely,Human Resources,2,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,4,Divorced,2661,0,No,11,3,3,1,3,2,3,2,2,1,2,Seek,30
34,Current employee,Travel_Rarely,Research & Development,19,College,Medical,1,Male,3,3,Research Director,3,Single,13664,4,No,13,3,1,0,16,3,4,5,2,0,2,Seek,18
25,Voluntary Resignation,Travel_Rarely,Sales,5,Bachelor,Marketing,2,Male,3,1,Laboratory Technician,4,Divorced,2661,1,Yes,11,3,4,0,6,1,3,6,4,0,3,GlassDoor,19
35,Current employee,Travel_Rarely,Sales,16,Bachelor,Marketing,2,Male,3,1,Laboratory Technician,4,Divorced,2661,0,No,15,3,3,2,12,3,2,11,9,6,9,GlassDoor,23
34,Current employee,Travel_Rarely,Research & Development,19,College,Medical,1,Male,2,4,Manager,4,Divorced,14118,3,No,12,3,3,1,32,3,2,1,0,0,0,Jora,2
20,Current employee,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,2,Male,3,1,Laboratory Technician,4,Divorced,2661,1,No,13,4,4,0,1,0,4,1,0,0,0,Jora,19
33,Current employee,Travel_Frequently,Research & Development,5,Master,Life Sciences,2,Male,3,1,Laboratory Technician,4,Divorced,2661,6,No,18,4,4,1,6,3,3,4,3,1,2,Seek,27
35,Current employee,Travel_Rarely,Sales,7,Below college,Life Sciences,2,Male,3,1,Laboratory Technician,4,Divorced,2661,1,Yes,18,3,2,0,1,3,1,1,0,0,0,Recruit.net,34
33,Current employee,Travel_Rarely,Human Resources,2,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,4,Divorced,3149,8,No,20,4,2,1,9,3,3,5,2,1,4,Adzuna,24
28,Voluntary Resignation,Travel_Rarely,Research & Development,24,Bachelor,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,5,Yes,14,3,2,0,6,4,3,4,2,0,3,Seek,22
42,Current employee,Travel_Rarely,Human Resources,10,Bachelor,Human Resources,1,Male,2,1,Laboratory Technician,3,Single,2028,5,Yes,14,3,2,0,6,4,3,4,2,0,3,Seek,36
28,Voluntary Resignation,Travel_Rarely,Research & Development,24,Bachelor,Life Sciences,2,Male,3,2,Human Resources,2,Divorced,5021,8,Yes,22,3,4,1,16,2,3,4,2,0,2,Jora,12
25,Current employee,Travel_Rarely,Research & Development,7,Below college,Medical,3,Male,2,1,Laboratory Technician,3,Single,2028,1,No,11,3,3,2,2,2,3,2,2,2,1,Company Website,23
36,Current employee,Travel_Frequently,Research & Development,18,Master,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,4,No,18,4,4,2,4,2,3,1,0,0,0,Company Website,32
28,Voluntary Resignation,Travel_Rarely,Research & Development,24,Bachelor,Life Sciences,2,Male,2,4,Manager,3,Married,17046,0,No,15,3,2,1,28,2,3,27,10,15,7,LinkedIn,0
42,Current employee,Travel_Rarely,Research & Development,2,Master,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,1,No,13,3,2,2,10,4,3,10,2,2,2,LinkedIn,32
43,Current employee,Travel_Frequently,Research & Development,10,Master,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,1,No,24,3,1,2,2,6,3,2,2,2,2,Indeed,41
24,Current employee,Non-Travel,Sales,13,College,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,4,No,17,3,4,0,12,3,4,6,5,1,2,Seek,12
29,Current employee,Travel_Rarely,Research & Development,21,Master,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,1,No,11,3,3,1,10,1,3,10,9,8,8,Company Website,19
38,Current employee,Travel_Frequently,Human Resources,10,Master,Human Resources,1,Female,4,3,Manufacturing Director,1,Divorced,9980,1,No,11,3,3,1,10,1,3,10,9,8,8,Company Website,28
29,Current employee,Travel_Rarely,Research & Development,21,Master,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,5126,1,Yes,12,4,3,2,10,1,2,10,8,3,0,LinkedIn,19
22,Current employee,Travel_Rarely,Research & Development,15,Bachelor,Medical,2,Female,4,3,Manufacturing Director,1,Divorced,9980,1,No,15,3,3,0,1,5,3,0,0,0,0,Indeed,21
51,Current employee,Travel_Rarely,Research & Development,2,Bachelor,Medical,2,Female,4,3,Manufacturing Director,1,Divorced,9980,5,No,18,3,4,1,13,3,3,4,1,1,2,Indeed,38
29,Current employee,Travel_Rarely,Research & Development,21,Master,Life Sciences,3,Female,3,1,Laboratory Technician,4,Single,2564,0,No,14,4,3,0,12,2,2,11,7,6,7,Recruit.net,17
43,Current employee,Travel_Rarely,Research & Development,6,Master,Other,2,Female,4,3,Manufacturing Director,1,Divorced,9980,4,Yes,14,3,3,1,21,3,2,1,0,0,0,Recruit.net,22
27,Current employee,Travel_Rarely,Research & Development,5,Bachelor,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,6,No,18,3,4,1,6,1,1,2,2,2,2,Adzuna,21
29,Current employee,Travel_Rarely,Sales,19,Bachelor,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,5,No,11,3,4,0,28,3,2,2,2,1,2,Jora,1
38,Current employee,Travel_Frequently,Human Resources,10,Master,Human Resources,1,Female,4,1,Research Scientist,3,Married,3517,2,No,17,3,1,0,5,0,3,3,2,0,2,LinkedIn,33
38,Current employee,Travel_Frequently,Human Resources,10,Master,Human Resources,1,Female,3,1,Laboratory Technician,1,Married,3211,1,No,14,3,4,1,10,3,2,9,6,1,4,LinkedIn,28
32,Current employee,Travel_Rarely,Research & Development,5,College,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,0,Yes,12,3,4,2,7,5,2,6,2,0,5,Indeed,25
44,Current employee,Travel_Frequently,Human Resources,1,Doctor,Human Resources,1,Male,4,1,Research Scientist,2,Divorced,3298,0,Yes,12,3,4,2,7,5,2,6,2,0,5,Indeed,37
32,Current employee,Travel_Rarely,Research & Development,5,College,Life Sciences,2,Male,2,1,Research Scientist,3,Single,2859,1,No,18,4,1,0,6,3,3,6,4,0,4,Recruit.net,26
