,EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source,AgeStartedWorking
2663,2726,39,0,Travel_Rarely,Sales,6,Bachelor,Medical,4,Male,2,1,Research Scientist,2,Married,2141,1,No,12,3,2,1,6,3,2,6,4,1,1,Indeed,33
502,8197,27,1,Travel_Rarely,Sales,2,Bachelor,Life Sciences,1,Male,3,1,Research Scientist,4,Married,2713,1,No,11,3,3,1,5,2,1,5,2,0,2,GlassDoor,22
243,2907,27,1,Travel_Frequently,Sales,8,Bachelor,Life Sciences,1,Male,3,2,Sales Executive,4,Single,5772,4,Yes,21,3,3,0,14,4,3,9,6,0,8,Seek,13
987,5720,40,0,Travel_Rarely,Sales,2,College,Marketing,4,Female,3,2,Sales Executive,2,Divorced,5715,7,No,12,3,3,2,8,5,3,5,4,1,3,Recruit.net,32
1579,1228,34,0,Travel_Frequently,Sales,2,Master,Marketing,3,Female,3,2,Sales Executive,4,Married,4537,0,Yes,22,3,1,1,8,2,3,7,6,7,7,Jora,26
2526,7424,31,1,Travel_Rarely,Research & Development,24,Bachelor,Medical,4,Male,2,1,Research Scientist,1,Single,2362,6,No,13,3,3,0,11,2,1,9,7,0,7,Jora,20
1034,7020,36,0,Travel_Rarely,Research & Development,2,Master,Life Sciences,2,Female,3,2,Research Scientist,3,Divorced,4556,2,No,11,3,2,1,19,3,3,5,4,0,2,GlassDoor,17
2230,5736,30,1,Travel_Rarely,Research & Development,6,Bachelor,Technical Degree,1,Female,2,2,Laboratory Technician,4,Married,4627,0,No,12,3,1,1,10,6,3,9,2,6,7,Recruit.net,20
1386,8762,28,1,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,2,Male,3,2,Laboratory Technician,4,Married,5309,1,No,15,4,4,2,10,2,3,10,8,4,7,Company Website,18
2480,7890,18,1,Non-Travel,Research & Development,8,Below college,Medical,4,Male,3,4,Research Director,1,Divorced,17007,7,No,14,3,4,2,16,3,2,14,8,6,9,Company Website,2
1563,5743,31,1,Travel_Rarely,Research & Development,11,Master,Life Sciences,4,Male,3,1,Research Scientist,4,Married,2356,3,Yes,19,3,2,1,8,2,3,6,4,0,2,GlassDoor,23
347,3753,41,0,Travel_Frequently,Research & Development,10,Bachelor,Life Sciences,1,Female,2,2,Sales Executive,2,Divorced,5209,1,Yes,12,3,2,3,11,4,2,11,8,2,7,Seek,30
3246,8701,25,1,Travel_Rarely,Research & Development,4,Below college,Technical Degree,4,Male,2,2,Healthcare Representative,3,Single,4617,1,No,12,3,2,0,4,2,2,4,3,1,2,LinkedIn,21
312,8791,31,1,Travel_Rarely,Research & Development,8,Master,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,1,No,23,3,4,0,11,2,3,11,7,1,8,Seek,20
3198,4959,37,1,Travel_Rarely,Research & Development,1,Bachelor,Technical Degree,4,Male,3,1,Research Scientist,1,Divorced,3065,1,Yes,13,3,4,1,4,3,4,4,2,2,3,Indeed,33
736,2079,45,0,Travel_Rarely,Research & Development,20,College,Medical,3,Male,3,4,Healthcare Representative,4,Married,13496,0,Yes,14,3,2,0,21,2,3,20,7,4,10,Seek,24
64,7034,40,0,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,1,Male,2,3,Manufacturing Director,3,Single,9526,8,No,14,3,2,1,5,4,3,1,0,0,0,LinkedIn,35
2876,1636,35,0,Travel_Rarely,Research & Development,27,Master,Life Sciences,4,Male,3,2,Manufacturing Director,3,Married,6883,2,No,16,3,2,1,17,3,3,7,7,0,7,Company Website,18
922,6239,42,0,Travel_Rarely,Research & Development,2,Master,Other,1,Male,2,2,Healthcare Representative,4,Single,6781,3,No,23,3,2,0,14,6,3,1,0,0,0,Jora,28
1535,8359,22,1,Travel_Rarely,Research & Development,1,College,Life Sciences,4,Male,2,2,Manufacturing Director,4,Married,4775,6,No,22,3,1,2,4,2,1,2,2,2,2,LinkedIn,18
1756,5161,30,1,Travel_Rarely,Research & Development,8,College,Life Sciences,2,Female,4,3,Research Director,1,Married,11416,0,Yes,12,3,3,3,9,4,2,8,7,1,7,Recruit.net,21
170,1674,34,0,Travel_Rarely,Research & Development,7,Master,Life Sciences,1,Female,3,3,Research Director,2,Single,11994,0,No,11,3,3,0,13,4,3,12,6,2,11,Company Website,21
1669,9895,18,1,Travel_Frequently,Sales,5,Bachelor,Marketing,3,Male,3,1,Laboratory Technician,3,Single,2519,4,No,21,3,3,0,16,6,3,11,8,3,9,Company Website,2
413,2784,52,0,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,1,Male,3,2,Sales Executive,2,Married,6146,0,No,13,3,1,1,8,2,4,7,7,0,7,Company Website,44
913,7871,33,1,Travel_Frequently,Sales,7,Bachelor,Life Sciences,2,Female,3,1,Laboratory Technician,2,Married,2370,1,No,13,3,3,1,8,4,3,8,0,0,7,Seek,25
411,3369,59,0,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,1,Male,1,1,Research Scientist,3,Married,2613,3,No,25,4,3,3,14,6,3,14,11,2,13,Company Website,45
725,9000,32,1,Travel_Rarely,Research & Development,2,Below college,Technical Degree,4,Male,2,2,Laboratory Technician,1,Single,2176,4,No,13,3,4,0,9,5,3,6,2,0,4,Company Website,23
2641,9269,34,0,Travel_Frequently,Research & Development,10,Master,Technical Degree,4,Male,2,2,Healthcare Representative,3,Married,5063,1,No,14,3,2,1,8,3,2,8,2,7,7,Jora,26
26,1486,34,0,Travel_Frequently,Human Resources,23,Bachelor,Human Resources,1,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,Seek,26
1978,9704,44,0,Non-Travel,Research & Development,23,Bachelor,Medical,3,Male,1,2,Laboratory Technician,4,Single,4272,4,No,19,3,1,0,16,3,3,1,0,0,0,Company Website,28
1852,5860,40,0,Travel_Rarely,Sales,26,Bachelor,Marketing,3,Male,3,2,Sales Executive,1,Married,8396,1,No,14,3,2,1,8,3,2,7,7,7,5,GlassDoor,32
2207,8192,29,1,Travel_Rarely,Research & Development,7,Bachelor,Technical Degree,2,Female,3,1,Laboratory Technician,3,Divorced,3339,3,Yes,13,4,1,2,10,2,3,7,7,7,7,GlassDoor,19
2678,2651,28,1,Travel_Rarely,Research & Development,27,Bachelor,Medical,4,Male,3,2,Manufacturing Director,1,Married,5377,2,No,13,4,4,3,10,3,3,7,7,7,7,Recruit.net,18
245,1399,37,0,Travel_Rarely,Research & Development,19,College,Life Sciences,1,Male,4,1,Laboratory Technician,4,Married,2269,1,No,19,3,4,0,1,2,3,1,0,0,1,Seek,36
2294,9784,56,0,Travel_Rarely,Research & Development,9,Bachelor,Medical,3,Male,3,3,Manufacturing Director,4,Single,7898,1,No,11,3,3,0,11,2,3,10,9,0,8,Jora,45
2555,5695,32,1,Travel_Rarely,Sales,8,Bachelor,Medical,4,Male,2,1,Laboratory Technician,2,Married,4841,4,No,14,3,2,1,4,3,3,1,0,0,0,Jora,28
1619,4777,35,1,Travel_Rarely,Sales,16,Bachelor,Marketing,3,Female,2,1,Sales Representative,4,Single,3294,1,Yes,18,3,1,0,3,3,2,3,2,1,2,Company Website,32
3171,2220,41,0,Travel_Rarely,Research & Development,9,College,Medical,1,Male,3,2,Manufacturing Director,1,Married,5151,9,No,15,3,3,1,12,3,1,8,3,3,6,Indeed,29
224,2438,38,0,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,1,Male,3,5,Manager,3,Divorced,19197,1,Yes,14,3,3,1,21,3,3,21,8,1,6,Indeed,17
253,2927,33,1,Travel_Frequently,Research & Development,1,College,Life Sciences,1,Female,3,2,Sales Executive,1,Divorced,2121,1,Yes,13,3,2,0,1,3,4,1,0,0,0,Indeed,32
1214,7491,44,0,Travel_Rarely,Human Resources,1,Master,Life Sciences,1,Female,2,2,Human Resources,3,Single,5985,4,No,11,3,2,0,10,1,4,2,2,0,2,Recruit.net,34
1785,6519,43,0,Travel_Rarely,Sales,4,Master,Marketing,3,Female,3,2,Manufacturing Director,4,Married,4227,0,No,18,3,2,1,4,2,3,3,2,2,2,Seek,39
198,8103,46,0,Travel_Rarely,Sales,2,Master,Marketing,2,Female,3,5,Manager,1,Single,18947,3,No,12,3,4,0,22,2,2,2,2,2,1,Company Website,24
712,7850,42,0,Travel_Rarely,Research & Development,2,Bachelor,Medical,4,Female,2,1,Laboratory Technician,1,Divorced,2593,0,Yes,11,3,3,1,10,4,3,9,6,7,8,GlassDoor,32
633,2150,54,0,Travel_Rarely,Sales,3,Bachelor,Marketing,4,Female,3,2,Sales Executive,1,Married,5940,2,No,14,3,4,1,16,4,3,6,2,0,5,Indeed,38
748,7315,28,1,Travel_Rarely,Research & Development,9,Bachelor,Medical,4,Male,3,1,Research Scientist,4,Married,2070,1,No,23,3,4,1,5,3,2,5,2,0,4,Company Website,23
971,3532,53,0,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,3,Female,3,2,Research Scientist,4,Married,5484,9,No,17,3,2,1,9,3,2,2,2,2,1,Company Website,44
2736,4550,36,0,Non-Travel,Research & Development,1,Master,Medical,4,Female,3,1,Research Scientist,2,Married,3936,1,No,11,4,1,1,8,2,1,8,4,7,7,Indeed,28
1178,7521,46,0,Travel_Rarely,Sales,3,Bachelor,Life Sciences,2,Male,3,2,Sales Executive,2,Married,6272,1,No,20,3,4,2,6,5,4,5,3,1,4,Adzuna,40
2768,4588,49,0,Travel_Rarely,Research & Development,22,Master,Other,1,Female,3,4,Research Director,2,Married,16413,3,No,16,4,2,2,27,2,3,4,2,1,2,Jora,22
225,9002,35,1,Travel_Rarely,Research & Development,4,College,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,1,No,12,3,3,1,1,3,3,1,0,0,0,Seek,34
3037,8560,26,1,Travel_Rarely,Sales,10,Bachelor,Medical,3,Male,3,2,Sales Executive,4,Single,4684,1,No,13,3,1,0,5,4,3,5,3,1,2,Seek,21
2388,6798,31,1,Travel_Rarely,Research & Development,8,Doctor,Life Sciences,1,Female,3,4,Research Director,2,Single,16422,3,No,11,4,3,0,9,3,4,3,2,1,0,LinkedIn,22
2286,6077,47,0,Travel_Frequently,Sales,3,Bachelor,Medical,3,Male,3,1,Laboratory Technician,4,Married,3669,3,No,11,3,3,3,7,6,2,3,2,1,2,Seek,40
3053,3625,27,1,Travel_Frequently,Research & Development,5,College,Life Sciences,4,Female,3,1,Laboratory Technician,4,Single,2379,0,Yes,14,3,3,0,6,3,2,5,4,0,2,Adzuna,21
2424,4526,55,0,Travel_Rarely,Research & Development,4,Master,Medical,4,Male,3,2,Healthcare Representative,3,Married,4035,0,Yes,16,3,2,0,4,2,3,3,2,1,2,Adzuna,51
205,9339,30,1,Travel_Rarely,Research & Development,9,College,Medical,4,Male,2,1,Laboratory Technician,3,Single,2206,1,No,13,3,1,0,10,5,3,10,0,1,8,Company Website,20
3043,3251,31,1,Travel_Rarely,Human Resources,18,Doctor,Human Resources,4,Male,4,1,Human Resources,1,Married,2956,0,No,17,3,3,0,2,4,3,1,0,0,0,LinkedIn,29
356,8493,28,1,Non-Travel,Sales,4,Bachelor,Medical,2,Male,3,2,Sales Executive,3,Married,4221,1,No,15,3,2,0,5,3,4,5,4,0,4,Indeed,23
2775,8924,34,0,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,4,Female,3,2,Research Scientist,2,Divorced,5433,1,No,12,3,3,1,11,2,3,11,8,7,9,Seek,23
2153,6962,44,0,Travel_Rarely,Sales,5,Bachelor,Marketing,2,Male,3,5,Manager,2,Married,18213,7,No,11,3,3,1,26,5,3,22,9,3,10,Company Website,18
1800,6363,55,0,Travel_Rarely,Research & Development,2,College,Medical,3,Male,3,5,Manager,3,Married,19187,4,No,14,3,4,1,23,5,3,19,9,9,11,Company Website,32
1710,2253,40,1,Non-Travel,Sales,24,Bachelor,Life Sciences,2,Female,4,4,Sales Executive,2,Single,13194,4,Yes,16,3,4,0,22,2,2,1,0,0,0,GlassDoor,18
2611,8527,31,1,Travel_Rarely,Human Resources,8,College,Medical,4,Female,3,1,Research Scientist,1,Married,2367,8,No,12,3,4,1,10,3,2,8,2,7,6,Recruit.net,21
139,7151,32,1,Travel_Rarely,Research & Development,5,College,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,0,Yes,12,3,4,2,7,5,2,6,2,0,5,Indeed,25
1712,2178,47,0,Travel_Frequently,Research & Development,16,Master,Medical,3,Male,4,2,Manufacturing Director,3,Divorced,5067,1,Yes,19,4,3,0,20,3,4,19,10,2,7,Company Website,27
167,9428,31,1,Travel_Rarely,Human Resources,18,Doctor,Human Resources,1,Male,2,1,Sales Representative,1,Single,3407,7,No,23,3,2,0,10,4,3,5,3,0,3,Company Website,21
3270,8129,34,1,Travel_Rarely,Research & Development,20,Bachelor,Technical Degree,4,Male,3,1,Sales Representative,3,Married,3067,0,No,19,3,3,1,3,1,3,2,2,1,2,Seek,31
155,5410,53,0,Travel_Rarely,Sales,2,Master,Life Sciences,1,Male,3,4,Research Director,3,Married,17861,6,No,13,3,3,0,26,2,1,3,2,0,1,Company Website,27
533,1124,33,1,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,3,Male,3,1,Research Scientist,4,Single,2500,0,No,14,3,1,0,4,2,4,3,1,0,2,Seek,29
1610,1534,20,1,Travel_Rarely,Sales,2,Bachelor,Medical,2,Female,2,1,Research Scientist,3,Single,2044,1,No,13,3,4,0,14,6,3,14,11,2,13,Seek,6
2362,2454,28,1,Travel_Rarely,Sales,5,Master,Medical,3,Female,3,1,Laboratory Technician,3,Single,3629,4,No,18,4,1,0,8,6,3,3,2,0,2,Adzuna,20
190,2292,42,0,Travel_Rarely,Sales,8,Master,Marketing,3,Male,3,2,Sales Executive,2,Married,6825,0,No,11,3,4,1,10,2,3,9,7,4,2,Company Website,32
228,2878,34,1,Travel_Rarely,Research & Development,7,Master,Life Sciences,1,Female,3,1,Laboratory Technician,1,Divorced,2341,1,No,13,3,4,1,1,6,3,1,0,0,0,GlassDoor,33
1932,3754,30,1,Travel_Frequently,Research & Development,1,College,Medical,3,Male,4,4,Manager,4,Single,16885,2,No,22,4,3,0,27,3,2,5,4,2,1,Jora,3
978,8243,46,1,Travel_Rarely,Research & Development,15,College,Life Sciences,2,Male,3,1,Research Scientist,1,Single,3102,0,No,22,3,3,0,7,2,3,6,4,0,4,Seek,39
796,2527,37,1,Travel_Frequently,Research & Development,9,Bachelor,Medical,2,Male,3,1,Research Scientist,4,Married,2326,1,Yes,12,3,3,3,4,3,2,4,2,1,2,Company Website,33
2994,2051,25,1,Travel_Rarely,Sales,3,Below college,Other,4,Male,3,1,Human Resources,2,Divorced,2592,5,No,13,3,4,3,13,3,3,11,10,3,8,LinkedIn,12
1381,2540,53,0,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,4,Male,3,2,Laboratory Technician,4,Single,2450,2,No,17,4,4,0,19,4,3,2,2,2,2,Referral,34
3034,9615,32,1,Travel_Frequently,Research & Development,13,Bachelor,Other,4,Female,3,1,Research Scientist,1,Married,3591,1,No,25,3,3,1,3,3,3,3,2,1,2,Company Website,29
3135,3008,42,0,Travel_Rarely,Research & Development,6,Bachelor,Medical,3,Male,3,3,Research Director,1,Married,13348,9,No,13,4,2,1,18,3,4,13,7,5,7,Recruit.net,24
797,6924,32,1,Travel_Rarely,Research & Development,25,Master,Life Sciences,2,Male,3,1,Research Scientist,4,Married,2326,1,Yes,12,3,3,3,4,3,2,4,2,1,2,Company Website,28
357,3452,41,0,Travel_Rarely,Research & Development,14,Bachelor,Life Sciences,1,Male,3,2,Sales Executive,3,Married,4221,1,No,15,3,2,0,5,3,4,5,4,0,4,Indeed,36
2679,7184,39,0,Travel_Rarely,Research & Development,10,Doctor,Medical,2,Male,2,1,Laboratory Technician,4,Divorced,2532,6,No,14,3,2,1,9,3,2,6,5,1,2,Recruit.net,30
1455,2676,39,1,Non-Travel,Sales,21,Master,Life Sciences,3,Female,3,2,Sales Executive,1,Single,5324,5,No,15,3,3,0,6,3,3,3,2,0,2,Adzuna,33
1224,4398,29,1,Travel_Frequently,Research & Development,2,Below college,Life Sciences,2,Male,3,5,Manager,4,Married,19513,4,Yes,12,3,1,1,26,2,4,2,2,0,1,Adzuna,3
46,5557,30,1,Travel_Rarely,Research & Development,24,Below college,Life Sciences,3,Male,3,1,Research Scientist,2,Single,2501,1,No,17,3,2,0,1,4,3,1,1,1,0,LinkedIn,29
630,8405,49,0,Travel_Rarely,Research & Development,18,Master,Life Sciences,1,Male,3,1,Research Scientist,3,Single,2058,0,No,14,3,4,0,7,1,2,6,2,1,5,GlassDoor,42
435,5869,29,1,Travel_Rarely,Research & Development,15,Bachelor,Life Sciences,1,Female,4,1,Research Scientist,3,Single,4739,4,No,12,3,4,0,18,2,3,3,2,1,2,LinkedIn,11
1842,1253,30,1,Travel_Rarely,Sales,15,College,Marketing,3,Male,3,1,Research Scientist,1,Married,2042,6,Yes,14,3,2,1,6,2,3,3,2,1,2,Company Website,24
1315,8053,44,0,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,2,Male,2,3,Sales Executive,1,Married,10475,5,Yes,21,3,3,1,20,2,3,18,13,1,12,Seek,24
1451,7459,56,1,Travel_Rarely,Research & Development,24,College,Life Sciences,3,Female,2,1,Laboratory Technician,1,Married,2319,1,Yes,11,3,4,1,1,1,3,1,0,0,0,Company Website,55
